2024-08-21 00:10:46 in_battl = Point(x=312, y=588)
2024-08-21 00:10:46 move_to_click
2024-08-21 00:10:49 ожидание пропустить бой
2024-08-21 00:10:52 in_battle
2024-08-21 00:10:53 skip_battle = Point(x=426, y=111)
2024-08-21 00:10:53 пропускаем бой
2024-08-21 00:10:53 move_to_click
2024-08-21 00:10:56 ожидание close
2024-08-21 00:10:57 ожидание close
2024-08-21 00:10:58 ожидание close
2024-08-21 00:11:00 закрыть результат боя
2024-08-21 00:11:00 move_to_click
2024-08-21 00:11:02 arena.battle_in_arena
2024-08-21 00:11:02 quantity_battles = 129
2024-08-21 00:11:03 go_in_hall_glory
2024-08-21 00:11:05 link_in_hall_glory = None
2024-08-21 00:11:05 hall_glory = Point(x=768, y=111)
2024-08-21 00:11:05 close = None
2024-08-21 00:11:05 hall_glory = Point(x=768, y=111)
2024-08-21 00:11:05 move_to_click
2024-08-21 00:11:18 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:11:18 hero_arena = , None
2024-08-21 00:11:18 поиск противника
2024-08-21 00:11:19 move_to_click
2024-08-21 00:11:23 move_to_click
2024-08-21 00:11:26 move_to_click
2024-08-21 00:11:30 move_to_click
2024-08-21 00:11:33 move_to_click
2024-08-21 00:11:37 move_to_click
2024-08-21 00:11:40 move_to_click
2024-08-21 00:11:44 move_to_click
2024-08-21 00:11:48 move_to_click
2024-08-21 00:11:52 move_to_click
2024-08-21 00:11:56 move_to_click
2024-08-21 00:12:00 move_to_click
2024-08-21 00:12:03 move_to_click
2024-08-21 00:12:07 move_to_click
2024-08-21 00:12:11 move_to_click
2024-08-21 00:12:14 move_to_click
2024-08-21 00:12:18 move_to_click
2024-08-21 00:12:20  it = 17
2024-08-21 00:12:21 attack = Point(x=683, y=301)
2024-08-21 00:12:21 move_to_click
2024-08-21 00:12:24 link_arena = None
2024-08-21 00:12:27 link_arena = Point(x=428, y=166)
2024-08-21 00:12:28 безоружен
2024-08-21 00:12:29 ожидание боя
2024-08-21 00:15:53 in_battl = Point(x=312, y=588)
2024-08-21 00:15:53 move_to_click
2024-08-21 00:15:56 ожидание пропустить бой
2024-08-21 00:16:04 in_battle
2024-08-21 00:16:05 skip_battle = Point(x=426, y=111)
2024-08-21 00:16:05 пропускаем бой
2024-08-21 00:16:05 move_to_click
2024-08-21 00:16:07 ожидание close
2024-08-21 00:16:08 ожидание close
2024-08-21 00:16:09 ожидание close
2024-08-21 00:16:11 ожидание close
2024-08-21 00:16:12 закрыть результат боя
2024-08-21 00:16:12 move_to_click
2024-08-21 00:16:15 arena.battle_in_arena
2024-08-21 00:16:15 quantity_battles = 130
2024-08-21 00:16:16 go_in_hall_glory
2024-08-21 00:16:18 link_in_hall_glory = None
2024-08-21 00:16:18 hall_glory = Point(x=768, y=111)
2024-08-21 00:16:18 close = None
2024-08-21 00:16:18 hall_glory = Point(x=768, y=111)
2024-08-21 00:16:18 move_to_click
2024-08-21 00:16:30 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:16:30 hero_arena = , None
2024-08-21 00:16:30 поиск противника
2024-08-21 00:16:31 move_to_click
2024-08-21 00:16:34 move_to_click
2024-08-21 00:16:38 move_to_click
2024-08-21 00:16:42 move_to_click
2024-08-21 00:16:45 move_to_click
2024-08-21 00:16:48 move_to_click
2024-08-21 00:16:52 move_to_click
2024-08-21 00:16:55 move_to_click
2024-08-21 00:16:59 move_to_click
2024-08-21 00:17:02 move_to_click
2024-08-21 00:17:05 move_to_click
2024-08-21 00:17:09 move_to_click
2024-08-21 00:17:12 move_to_click
2024-08-21 00:17:16 move_to_click
2024-08-21 00:17:19 move_to_click
2024-08-21 00:17:22 move_to_click
2024-08-21 00:17:26 move_to_click
2024-08-21 00:17:29  it = 17
2024-08-21 00:17:29 attack = Point(x=683, y=301)
2024-08-21 00:17:29 move_to_click
