2024-07-12 08:05:17 move_to_click
2024-07-12 08:05:19 ожидание пропустить бой
2024-07-12 08:05:22 in_battle
2024-07-12 08:05:22 skip_battle = Point(x=386, y=121)
2024-07-12 08:05:22 пропускаем бой
2024-07-12 08:05:22 move_to_click
2024-07-12 08:05:24 ожидание close
2024-07-12 08:05:25 ожидание close
2024-07-12 08:05:25 ожидание close
2024-07-12 08:05:26 ожидание close
2024-07-12 08:05:26 ожидание close
2024-07-12 08:05:27 закрыть результат боя
2024-07-12 08:05:27 move_to_click
2024-07-12 08:05:30 arena.battle_in_arena
2024-07-12 08:05:30 quantity_battles = 5
2024-07-12 08:05:30 go_in_hall_glory
2024-07-12 08:05:31 link_in_hall_glory = None
2024-07-12 08:05:31 hall_glory = Point(x=728, y=121)
2024-07-12 08:05:31 close = None
2024-07-12 08:05:31 hall_glory = Point(x=728, y=121)
2024-07-12 08:05:31 move_to_click
2024-07-12 08:05:37 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:05:37 hero_arena = , None
2024-07-12 08:05:37 поиск противника
2024-07-12 08:05:37 move_to_click
2024-07-12 08:05:39 move_to_click
2024-07-12 08:05:42 move_to_click
2024-07-12 08:05:44 move_to_click
2024-07-12 08:05:46 move_to_click
2024-07-12 08:05:49 move_to_click
2024-07-12 08:05:51 move_to_click
2024-07-12 08:05:54 move_to_click
2024-07-12 08:05:56 move_to_click
2024-07-12 08:05:58 move_to_click
2024-07-12 08:06:00 move_to_click
2024-07-12 08:06:03 move_to_click
2024-07-12 08:06:05 move_to_click
2024-07-12 08:06:07 move_to_click
2024-07-12 08:06:10 move_to_click
2024-07-12 08:06:12 move_to_click
2024-07-12 08:06:14 move_to_click
2024-07-12 08:06:17 move_to_click
2024-07-12 08:06:18  it = 18
2024-07-12 08:06:19 attack = Point(x=643, y=314)
2024-07-12 08:06:19 move_to_click
2024-07-12 08:06:20 link_arena = None
2024-07-12 08:06:22 link_arena = Point(x=388, y=173)
2024-07-12 08:06:22 безоружен
2024-07-12 08:06:23 ожидание боя
2024-07-12 08:10:21 in_battl = Point(x=272, y=598)
2024-07-12 08:10:21 move_to_click
2024-07-12 08:10:23 ожидание пропустить бой
2024-07-12 08:10:26 in_battle
2024-07-12 08:10:26 skip_battle = Point(x=386, y=121)
2024-07-12 08:10:26 пропускаем бой
2024-07-12 08:10:26 move_to_click
2024-07-12 08:10:28 ожидание close
2024-07-12 08:10:29 ожидание close
2024-07-12 08:10:29 ожидание close
2024-07-12 08:10:30 ожидание close
2024-07-12 08:10:30 ожидание close
2024-07-12 08:10:31 закрыть результат боя
2024-07-12 08:10:31 move_to_click
2024-07-12 08:10:34 arena.battle_in_arena
2024-07-12 08:10:34 quantity_battles = 6
2024-07-12 08:10:34 go_in_hall_glory
2024-07-12 08:10:35 link_in_hall_glory = None
2024-07-12 08:10:35 hall_glory = Point(x=728, y=121)
2024-07-12 08:10:35 close = None
2024-07-12 08:10:35 hall_glory = Point(x=728, y=121)
2024-07-12 08:10:35 move_to_click
2024-07-12 08:10:40 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:10:40 hero_arena = , None
2024-07-12 08:10:40 поиск противника
2024-07-12 08:10:41 move_to_click
2024-07-12 08:10:43 move_to_click
2024-07-12 08:10:45 move_to_click
2024-07-12 08:10:48 move_to_click
2024-07-12 08:10:50 move_to_click
2024-07-12 08:10:52 move_to_click
2024-07-12 08:10:55 move_to_click
2024-07-12 08:10:57 move_to_click
2024-07-12 08:10:59 move_to_click
2024-07-12 08:11:01 move_to_click
2024-07-12 08:11:04 move_to_click
